,Date,AAPL,GOOG,META,MSFT
389,1982-06-29,0.05692,,,
390,1982-06-30,0.05692,,,
391,1982-07-01,0.056362,,,
392,1982-07-02,0.053571,,,
393,1982-07-06,0.051339,,,
394,1982-07-07,0.051339,,,
395,1982-07-08,0.049107,,,
396,1982-07-09,0.050781,,,
397,1982-07-12,0.051897,,,
398,1982-07-13,0.055246,,,
399,1982-07-14,0.055804,,,
400,1982-07-15,0.05692,,,
401,1982-07-16,0.059152,,,
402,1982-07-19,0.05971,,,
403,1982-07-20,0.063616,,,
404,1982-07-21,0.063616,,,
405,1982-07-22,0.064174,,,
406,1982-07-23,0.063058,,,
407,1982-07-26,0.060268,,,
408,1982-07-27,0.060268,,,
409,1982-07-28,0.057478,,,
410,1982-07-29,0.05971,,,
411,1982-07-30,0.060268,,,
412,1982-08-02,0.061942,,,
413,1982-08-03,0.058036,,,
414,1982-08-04,0.057478,,,
415,1982-08-05,0.055246,,,
416,1982-08-06,0.054688,,,
417,1982-08-09,0.055246,,,
418,1982-08-10,0.058594,,,
419,1982-08-11,0.059152,,,
420,1982-08-12,0.058594,,,
421,1982-08-13,0.058594,,,
422,1982-08-16,0.05971,,,
423,1982-08-17,0.063616,,,
424,1982-08-18,0.063616,,,
425,1982-08-19,0.064174,,,
426,1982-08-20,0.065848,,,
427,1982-08-23,0.068638,,,
428,1982-08-24,0.071987,,,
429,1982-08-25,0.077009,,,
430,1982-08-26,0.079241,,,
431,1982-08-27,0.075335,,,
432,1982-08-30,0.076451,,,
433,1982-08-31,0.080357,,,
434,1982-09-01,0.078125,,,
435,1982-09-02,0.081473,,,
436,1982-09-03,0.082031,,,
437,1982-09-07,0.077567,,,
438,1982-09-08,0.080357,,,
439,1982-09-09,0.078683,,,
440,1982-09-10,0.080915,,,
441,1982-09-13,0.081473,,,
442,1982-09-14,0.084263,,,
443,1982-09-15,0.083705,,,
444,1982-09-16,0.080915,,,
445,1982-09-17,0.079241,,,
446,1982-09-20,0.079799,,,
447,1982-09-21,0.081473,,,
448,1982-09-22,0.083705,,,
449,1982-09-23,0.083705,,,
450,1982-09-24,0.080915,,,
451,1982-09-27,0.080915,,,
452,1982-09-28,0.082031,,,
453,1982-09-29,0.082031,,,
454,1982-09-30,0.081473,,,
455,1982-10-01,0.082589,,,
456,1982-10-04,0.083705,,,
457,1982-10-05,0.084263,,,
458,1982-10-06,0.090402,,,
459,1982-10-07,0.097656,,,
460,1982-10-08,0.104911,,,
461,1982-10-11,0.107143,,,
462,1982-10-12,0.103795,,,
463,1982-10-13,0.104911,,,
464,1982-10-14,0.105469,,,
465,1982-10-15,0.102679,,,
466,1982-10-18,0.104911,,,
467,1982-10-19,0.107143,,,
468,1982-10-20,0.113281,,,
469,1982-10-21,0.116071,,,
470,1982-10-22,0.115513,,,
471,1982-10-25,0.108817,,,
472,1982-10-26,0.109375,,,
473,1982-10-27,0.112165,,,
474,1982-10-28,0.112165,,,
475,1982-10-29,0.113281,,,
476,1982-11-01,0.11942,,,
477,1982-11-02,0.12779,,,
478,1982-11-03,0.137277,,,
479,1982-11-04,0.138393,,,
480,1982-11-05,0.134487,,,
481,1982-11-08,0.128906,,,
482,1982-11-09,0.133371,,,
483,1982-11-10,0.138393,,,
484,1982-11-11,0.147321,,,
485,1982-11-12,0.144531,,,
486,1982-11-15,0.141183,,,
487,1982-11-16,0.133929,,,
488,1982-11-17,0.140067,,,
489,1982-11-18,0.140067,,,
490,1982-11-19,0.137835,,,
491,1982-11-22,0.125558,,,
492,1982-11-23,0.128906,,,
493,1982-11-24,0.131696,,,
494,1982-11-26,0.129464,,,
495,1982-11-29,0.128906,,,
496,1982-11-30,0.142299,,,
497,1982-12-01,0.145089,,,
498,1982-12-02,0.145089,,,
499,1982-12-03,0.141741,,,
500,1982-12-06,0.149554,,,
501,1982-12-07,0.151228,,,
502,1982-12-08,0.147879,,,
503,1982-12-09,0.140625,,,
504,1982-12-10,0.13058,,,
505,1982-12-13,0.12779,,,
506,1982-12-14,0.126674,,,
507,1982-12-15,0.126116,,,
508,1982-12-16,0.128348,,,
509,1982-12-17,0.134487,,,
510,1982-12-20,0.133929,,,
511,1982-12-21,0.135045,,,
512,1982-12-22,0.138951,,,
513,1982-12-23,0.142857,,,
514,1982-12-27,0.146205,,,
515,1982-12-28,0.145089,,,
516,1982-12-29,0.140067,,,
517,1982-12-30,0.133929,,,
518,1982-12-31,0.133371,,,
519,1983-01-03,0.127232,,,
520,1983-01-04,0.134487,,,
521,1983-01-05,0.135045,,,
522,1983-01-06,0.130022,,,
523,1983-01-07,0.122768,,,
524,1983-01-10,0.128348,,,
525,1983-01-11,0.130022,,,
526,1983-01-12,0.137277,,,
527,1983-01-13,0.137277,,,
528,1983-01-14,0.147321,,,
529,1983-01-17,0.152344,,,
530,1983-01-18,0.148996,,,
531,1983-01-19,0.150112,,,
